Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SFJ,Fort Johnson,Short,6,26,Tall,BI,allopatric,TBI,TBI 17,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,27,Tall,FB,allopatric,TFB,TFB 25,E,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,28,Tall,BI,allopatric,TBI,TBI 22,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,29,Short,BI,sympatric,SBI,SBI 7,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,30,Short,FB,sympatric,SFB,SFB 19,G,12-Dec,347,1,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,1,Short,FB,allopatric,SFB,SFB 9,E,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,2,Tall,BI,sympatric,TBI,TBI 3,B,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,3,Tall,FJ,sympatric,TFJ,TFJ 5,F,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,4,Short,FB,allopatric,SFB,SFB 12,D,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,5,Short,FJ,allopatric,SFJ,SFJ 7,G,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,6,Tall,FB,sympatric,TFB,TFB 12,C,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,7,Short,FB,allopatric,SFB,SFB 4,E,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,8,Short,BI,allopatric,SBI,SBI 7,F,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,9,Tall,FJ,sympatric,TFJ,TFJ 19,B,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,10,Short,FJ,allopatric,SFJ,SFJ 22,H,12-Dec,347,1,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,11,Short,BI,allopatric,SBI,SBI 19,A,12-Dec,347,1,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,12,Tall,FJ,sympatric,TFJ,TFJ 20,G,12-Dec,347,1,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,13,Tall,BI,sympatric,TBI,TBI 17,E,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,14,Tall,FB,sympatric,TFB,TFB 4,Z,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,15,Short,BI,allopatric,SBI,SBI 10,F,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,16,Short,FB,allopatric,SFB,SFB 19,D,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,17,Short,FB,allopatric,SFB,SFB 6,C,12-Dec,347,0,0,,,NA,NA,NA
TFB,Folly Beach,Tall,7,18,Tall,BI,sympatric,TBI,TBI 4,E,12-Dec,347,0,0,,,NA,NA,NA
