Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
TFB,Folly Beach,Tall,2,18,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,A,0,0,30,
TFB,Folly Beach,Tall,2,19,Short,FB,allopatric,allopatric,SFB,SFB 23,C,0,0,30,
TFB,Folly Beach,Tall,2,20,Tall,BI,sympatric,allopatric,TBI,TBI 6,B,0,0,30,
TFB,Folly Beach,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 15,F,1,0,30,
TFB,Folly Beach,Tall,2,22,Tall,FJ,sympatric,allopatric,TFJ,TFJ 24,B,1,0,30,
TFB,Folly Beach,Tall,2,23,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,A,1,0,30,
TFB,Folly Beach,Tall,2,24,Tall,FB,sympatric,sympatric,TFB,TFB 13,B,1,0,30,
TFB,Folly Beach,Tall,2,25,Short,BI,allopatric,allopatric,SBI,SBI 20,D,1,0,30,
TFB,Folly Beach,Tall,2,26,Tall,FB,sympatric,sympatric,TFB,TFB 25,A,1,0,30,
TFB,Folly Beach,Tall,2,27,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,C,1,0,30,
TFB,Folly Beach,Tall,2,28,Short,FB,allopatric,allopatric,SFB,SFB 25,H,1,0,30,
TFB,Folly Beach,Tall,2,29,Tall,FJ,sympatric,allopatric,TFJ,TFJ 13,B,1,0,30,
TFB,Folly Beach,Tall,2,30,Short,BI,allopatric,allopatric,SBI,SBI 9,A,0,0,30,
